Show,Artists,Date,Days Elapsed,Day of Year,Sin Day of Year,Cos Day of Year,Day of Week,Sin Day of Week,Cos Day of Week,Tickets Sold,Total GBOR,Total GBOR Numeric,Advance Ticket Price,Artist Fee,Deal,Scan Count,Bar Sales,Bar Sales Numeric,GBOR Bar Sales Ratio,Bar Sales Per Head,Net Income,Spotify Followers,Spotify Followers Max,artist1_genres,artist2_genres,combined_genres
Moon Taxi,Moon Taxi,2005-07-08,0,189,-0.1116590071216944,-0.993746580436178,5,-0.433883739117558,-0.9009688679024191,287.0,"$4,384.00",4384.0,$15.00,"$2,368.20",60%,323.0,"$3,102.00",3102.0,1.4132817537072857,$9.60,"$2,261.71",185556,185556,,,
Cherub,Cherub,2005-07-08,0,189,-0.1116590071216944,-0.993746580436178,5,-0.433883739117558,-0.9009688679024191,258.0,"$5,066.00",5066.0,$20.00,"$3,539.60",60%,283.0,"$2,183.79",2183.79,2.31982012922488,$7.72,-$24.17,171156,171156,,,
Sons of Bill and Jason Isbell,"Sons of Bill, Jason Isbell",2009-11-27,1603,331,-0.5524353131676203,0.8335557718385695,5,-0.433883739117558,-0.9009688679024191,709.0,"$10,341.00",10341.0,$15.00,,,,,,,,,"9112,443598",443598,"alt country,americana,red dirt","alt country,americana,roots rock,red dirt","americana,alt country,roots rock,red dirt"
Trees on Fire,Trees on Fire,2009-11-28,1604,332,-0.5380051715382992,0.8429415373547832,6,-0.9749279121818236,-0.2225209339563146,484.0,"$5,808.00",5808.0,$12.00,,,,,,,,,356,356,,,
KINGS OF BELMONT,KINGS OF BELMONT,2009-12-04,1610,338,-0.4482293417404106,0.893918596519257,5,-0.433883739117558,-0.9009688679024191,356.0,"$2,144.02",2144.02,$10.00,,,,,,,,,70,70,modern rock,,modern rock
TOUBAB KREWE,TOUBAB KREWE,2009-12-05,1611,339,-0.4327755925504317,0.9015016841318838,6,-0.9749279121818236,-0.2225209339563146,608.0,"$4,859.40",4859.4,$15.00,,,,,,,,,27962,27962,,,
SHARON JONES AND THE DAP KINGS,"SHARON JONES, THE DAP KINGS",2009-12-12,1618,346,-0.3212696616923651,0.9469877530760752,6,-0.9749279121818236,-0.2225209339563146,729.0,"$14,580.00",14580.0,$20.00,,,,,,,,,"303439,2173",303439,"retro soul,soul,funk",,"funk,retro soul,soul"
ROCKNOCEROUS & SECRET AGENT 23 SKIDOO,"ROCKNOCEROUS, SECRET AGENT 23 SKIDOO",2009-12-13,1619,347,-0.3049212246562894,0.9523775757303972,7,-0.7818314824680299,0.6234898018587334,108.0,"$1,040.00",1040.0,$10.00,,,,,,,,,"2740,9055",9055,childrens music,childrens music,childrens music
GOGOL BORDELLO,GOGOL BORDELLO,2009-12-31,1637,365,6.432490598706546e-16,1.0,4,0.4338837391175582,-0.900968867902419,745.0,"$30,000.00",30000.0,$40.00,,,,,,,,,366906,366906,"folk punk,dark cabaret",,"folk punk,dark cabaret"
BELLA MORTE,BELLA MORTE,2010-01-02,1639,2,0.0344216116227457,0.9994074007397048,6,-0.9749279121818236,-0.2225209339563146,178.0,"$2,026.00",2026.0,$10,,,,,,,,,21462,21462,"deathrock,darkwave,industrial,ebm,post-punk,cold wave,gothic metal",,"deathrock,cold wave,darkwave,post-punk,industrial,gothic metal,ebm"
THE MACHINE: TRIBUTE TO PINK FLOYD,THE MACHINE,2010-01-10,1647,10,0.1712931441814776,0.9852201067560606,7,-0.7818314824680299,0.6234898018587334,388.0,"$8,365.00",8365.0,$20,,,,,,,,,6998035,6998035,baroque pop,,baroque pop
ALEJANDRO ESCOVEDO,ALEJANDRO ESCOVEDO,2010-01-17,1654,17,0.288482432880609,0.9574851883550392,7,-0.7818314824680299,0.6234898018587334,218.0,"$4,610.00",4610.0,$20,,,,,,,,,42391,42391,"alt country,americana,roots rock",,"americana,alt country,roots rock"
WHO'S BAD: TRIBUTE TO MICHAEL JACKSON,WHO'S BAD,2010-01-20,1657,20,0.3375228995941133,0.9413173175128472,3,0.9749279121818236,-0.2225209339563143,349.0,"$5,235.00",5235.0,$15,,,,,,,,,1088,1088,,,
RJD2,RJD2,2010-01-21,1658,21,0.3536761221763716,0.9353679493131484,4,0.4338837391175582,-0.900968867902419,545.0,"$10,336.00",10336.0,$18,,,,,,,,,366343,366343,"trip hop,nu jazz,downtempo",,"nu jazz,downtempo,trip hop"
CHEAP TRICK,CHEAP TRICK,2010-01-22,1659,22,0.3697245428906731,0.9291414114031744,5,-0.433883739117558,-0.9009688679024191,402.0,"$12,445.00",12445.0,$32,,,,,,,,,1563640,1563640,"power pop,album rock,classic rock,glam rock",,"album rock,glam rock,power pop,classic rock"
TEA LEAF GREEN,TEA LEAF GREEN,2010-02-02,1670,33,0.5380051715382996,0.8429415373547828,2,0.7818314824680298,0.6234898018587336,264.0,"$4,308.00",4308.0,$15,,,,,,,,,41622,41622,"newgrass,bluegrass",,"newgrass,bluegrass"
DONNA THE BUFFALO,DONNA THE BUFFALO,2010-02-04,1672,35,0.5667017562911176,0.8239230057575542,4,0.4338837391175582,-0.900968867902419,425.0,"$6,665.00",6665.0,$15,,,,,,,,,21904,21904,"newgrass,bluegrass,americana",,"americana,newgrass,bluegrass"
TREY ANASTIASIO,TREY ANASTIASIO,2010-02-08,1676,39,0.6220467484408675,0.7829801036770629,1,0.0,1.0,740.0,"$36,330.00",36330.0,$49,,,,,,,,,119255,119255,newgrass,,newgrass
SOJA,SOJA,2010-02-12,1680,43,0.6744436188329455,0.7383263540031065,5,-0.433883739117558,-0.9009688679024191,751.0,"$15,000.00",15000.0,$20,,,,,,,,,1133039,1133039,"reggae,roots reggae,reggae rock",,"reggae rock,reggae,roots reggae"
UNDER THE FLOOD,UNDER THE FLOOD,2010-02-13,1681,44,0.6870527672236669,0.7266075247685656,6,-0.9749279121818236,-0.2225209339563146,261.0,"$2,679.00",2679.0,$10,,,,,,,,,16486,16486,post-grunge,,post-grunge
PUCH BROTHERS,PUCH BROTHERS,2010-02-16,1684,47,0.7236440382959124,0.6901733882429719,2,0.7818314824680298,0.6234898018587336,263.0,"$5,206.00",5206.0,$20,,,,,,,,,1268,1268,latin jazz,,latin jazz
LUCERO,LUCERO,2010-02-20,1688,51,0.7694148268839378,0.6387494220515272,6,-0.9749279121818236,-0.2225209339563146,430.0,"$6,894.00",6894.0,$15,,,,,,,,,39,39,"melodic techno,melodic house,tribal house,indie dance",,"melodic techno,tribal house,indie dance,melodic house"
NORTH MISSISSIPPI ALLSTARS,NORTH MISSISSIPPI ALLSTARS,2010-02-21,1689,52,0.7802958510707755,0.6254105729852463,7,-0.7818314824680299,0.6234898018587334,386.0,"$6,040.00",6040.0,$15,,,,,,,,,110550,110550,"southern rock,modern blues,blues rock,blues,roots rock",,"blues,blues rock,roots rock,southern rock,modern blues"
ST. VINCENT,ST. VINCENT,2010-02-23,1691,54,0.8013610881746766,0.5981809144059165,2,0.7818314824680298,0.6234898018587336,368.0,"$5,032.00",5032.0,$13,,,,,,,,,921941,921941,art pop,,art pop
STATE RADIO,STATE RADIO,2010-02-24,1692,55,0.8115390590073611,0.5842981736283684,3,0.9749279121818236,-0.2225209339563143,384.0,"$4,816.00",4816.0,$13,,,,,,,,,52523,52523,reggae rock,,reggae rock
DRIVE BY TRUCKERS,DRIVE BY TRUCKERS,2010-02-26,1694,57,0.8311706263658079,0.5560174366570446,5,-0.433883739117558,-0.9009688679024191,750.0,"$18,750.00",18750.0,$25,,,,,,,,,228041,228041,"alt country,southern rock,americana,roots rock,country rock",,"country rock,alt country,roots rock,americana,southern rock"
DRIVE BY TRUCKERS,DRIVE BY TRUCKERS,2010-02-27,1695,58,0.8406184056344782,0.5416278206559814,6,-0.9749279121818236,-0.2225209339563146,750.0,"$18,750.00",18750.0,$25,,,,,,,,,228041,228041,"alt country,southern rock,americana,roots rock,country rock",,"country rock,alt country,roots rock,americana,southern rock"
MOE,MOE,2010-03-10,1706,69,0.9275416835791966,0.373719714790469,3,0.9749279121818236,-0.2225209339563143,711.0,"$14,970.00",14970.0,$20,,,,,,,,,144975,144975,newgrass,,newgrass
MIKE GORDON,MIKE GORDON,2010-03-11,1707,70,0.9338372288229252,0.3576982388331254,4,0.4338837391175582,-0.900968867902419,392.0,"$8,035.00",8035.0,$20,,,,,,,,,27879,27879,newgrass,,newgrass
BAABA SETH (REUNION SHOW),BAABA SETH,2010-03-13,1709,72,0.9455963874271426,0.3253420847119801,6,-0.9749279121818236,-0.2225209339563146,518.0,"$7,526.00",7526.0,$15,,,,,,,,,105936,105936,afropop,,afropop
JAMES OTTO,JAMES OTTO,2010-03-19,1715,78,0.9741004551724204,0.2261156855082882,5,-0.433883739117558,-0.9009688679024191,327.0,"$4,406.00",4406.0,$17,,,,,,,,,100217,100217,"country,acoustic country",,"country,acoustic country"
CARBON LEAF,CARBON LEAF,2010-03-20,1716,79,0.9778483415056568,0.2093146459630484,6,-0.9749279121818236,-0.2225209339563146,750.0,"$11,702.00",11702.0,$15,,,,,,,,,32411,32411,"celtic rock,celtic",,"celtic,celtic rock"
AMOS LEE,AMOS LEE,2010-03-21,1717,80,0.9813064702716092,0.1924515819708299,7,-0.7818314824680299,0.6234898018587334,752.0,"$16,595.00",16595.0,$22,,,,,,,,,489262,489262,,,
BEN FOLDS,BEN FOLDS,2010-03-23,1719,82,0.9873494423939864,0.1585593851031347,2,0.7818314824680298,0.6234898018587336,770.0,"$27,750.00",27750.0,$36,,,,,,,,,315158,315158,,,
JOANNA NEWSOM,JOANNA NEWSOM,2010-03-24,1720,83,0.989932495087353,0.141540295217043,3,0.9749279121818236,-0.2225209339563143,444.0,"$12,281.00",12281.0,$30,,,,,,,,,127746,127746,,,
WE ARE SCIENTISTS,WE ARE SCIENTISTS,2010-03-25,1721,84,0.9922222094179324,0.1244792638867891,4,0.4338837391175582,-0.900968867902419,170.0,"$2,091.00",2091.0,$12,,,,,,,,,231298,231298,indie rock,,indie rock
BAND OF HEATHENS / 6 DAY BENDER,"BAND OF HEATHENS, 6 DAY BENDER",2010-03-26,1722,85,0.994217906893952,0.107381346664163,5,-0.433883739117558,-0.9009688679024191,116.0,"$1,240.00",1240.0,$10,,,,,,,,,"132033,215",132033,"red dirt,texas country,alt country,americana,southern rock","alt country,americana","red dirt,alt country,americana,southern rock,texas country"
PERPETUAL GROOVE,PERPETUAL GROOVE,2010-03-27,1723,86,0.995918996147179,0.0902516100310411,6,-0.9749279121818236,-0.2225209339563146,733.0,"$9,546.00",9546.0,$12,,,,,,,,,65170,65170,newgrass,,newgrass
ROBERT EARL KEEN,ROBERT EARL KEEN,2010-04-01,1728,91,0.99999073973619,0.0043035382962442,4,0.4338837391175582,-0.900968867902419,655.0,"$16,839.00",16839.0,$25,,,,,,,,,189728,189728,"texas country,red dirt,alt country,americana",,"red dirt,alt country,americana,texas country"
EASY STAR ALL STARS,EASY STAR ALL STARS,2010-04-03,1730,93,0.9995462806873572,-0.0301203048469081,6,-0.9749279121818236,-0.2225209339563146,423.0,"$7,870.00",7870.0,$18,,,,,,,,,156258,156258,"dub,reggae,rocksteady,roots reggae",,"rocksteady,reggae,roots reggae,dub"
WHITE RABBIT,WHITE RABBIT,2010-04-05,1732,95,0.9979171608653922,-0.0645084494493162,1,0.0,1.0,202.0,"$2,516.00",2516.0,$12,,,,,,,,,29976,29976,,,
COREY SMITH,COREY SMITH,2010-04-09,1736,99,0.9911140639934548,-0.1330147065341959,5,-0.433883739117558,-0.9009688679024191,614.0,"$7,626.00",7626.0,$15,,,,,,,,,90807,90807,"texas country,red dirt,country",,"red dirt,country,texas country"
BADFISH,BADFISH,2010-04-13,1740,103,0.97961369164549,-0.200890555130635,2,0.7818314824680298,0.6234898018587336,288.0,"$5,367.00",5367.0,$18,,,,,,,,,3706,3706,reggae rock,,reggae rock
ZOSO,ZOSO,2010-04-14,1741,104,0.9760105506323684,-0.2177232303965317,3,0.9749279121818236,-0.2225209339563143,291.0,"$3,055.00",3055.0,$10,,,,,,,,,20,20,,,
AGAINST ME!,AGAINST ME!,2010-04-18,1745,108,0.9587178169872964,-0.2843591872810034,7,-0.7818314824680299,0.6234898018587334,278.0,"$3,530.00",3530.0,$12,,,,,,,,,303962,303962,"folk punk,punk,skate punk",,"folk punk,punk,skate punk"
DISCO BISCUITS,DISCO BISCUITS,2010-04-21,1748,111,0.9427611433904208,-0.3334687789181868,3,0.9749279121818236,-0.2225209339563143,584.0,"$14,600.00",14600.0,$25,,,,,,,,,89632,89632,,,
SONS OF BILL   ,SONS OF BILL,2010-04-23,1750,113,0.9307239310379796,-0.3657225234972689,5,-0.433883739117558,-0.9009688679024191,696.0,"$8,746.00",8746.0,$12,,,,,,,,,9112,9112,"alt country,americana,red dirt",,"americana,alt country,red dirt"
TREES ON FIRE,TREES ON FIRE,2010-04-24,1751,114,0.9242907221930932,-0.3816892202666588,6,-0.9749279121818236,-0.2225209339563146,408.0,"$5,870.00",5870.0,$15,,,,,,,,,356,356,,,
BASSNECTAR,BASSNECTAR,2010-04-25,1752,115,0.9175836260593936,-0.3975428142825559,7,-0.7818314824680299,0.6234898018587334,750.0,"$15,000.00",15000.0,$20,,,,,,,,,603305,603305,"dubstep,bass music,dub",,"dubstep,bass music,dub"
EDWIN MCCAIN BAND,EDWIN MCCAIN BAND,2010-04-29,1756,119,0.8880573226294932,-0.4597327394521039,4,0.4338837391175582,-0.900968867902419,189.0,"$2,978.00",2978.0,$15,,,,,,,,,348588,348588,,,
PARACHUTE,PARACHUTE,2010-04-30,1757,120,0.8800122039735357,-0.4749510720670499,5,-0.433883739117558,-0.9009688679024191,750.0,"$9,762.00",9762.0,$13,,,,,,,,,639277,639277,,,
THE INFAMOUS STRINGDUSTER,THE INFAMOUS STRINGDUSTER,2010-05-01,1758,121,0.8717063187093218,-0.4900286664290592,6,-0.9749279121818236,-0.2225209339563146,329.0,"$4,322.00",4322.0,$12,,,,,,,,,108066,108066,"newgrass,bluegrass,americana",,"americana,newgrass,bluegrass"
LOTUS,LOTUS,2010-05-02,1759,122,0.8631421280499114,-0.5049610547215204,7,-0.7818314824680299,0.6234898018587334,547.0,"$10,084.00",10084.0,$18,,,,,,,,,2234,2234,,,
JOHN HIATT,JOHN HIATT,2010-05-04,1761,124,0.8452490573530633,-0.5343725582809786,2,0.7818314824680298,0.6234898018587336,365.0,"$12,249.00",12249.0,$33,,,,,,,,,230781,230781,"americana,roots rock,country rock,alt country",,"americana,country rock,alt country,roots rock"
ELLIS PAUL,ELLIS PAUL,2010-05-07,1764,127,0.8165380514459161,-0.5772916165517272,5,-0.433883739117558,-0.9009688679024191,195.0,"$3,033.00",3033.0,$15,,,,,,,,,9843,9843,,,
SHARON JONES AND THE DAP KINGS,"SHARON JONES, THE DAP KINGS",2010-05-08,1765,128,0.8064799463209448,-0.5912614448635781,6,-0.9749279121818236,-0.2225209339563146,750.0,"$16,500.00",16500.0,$22,,,,,,,,,"303439,2173",303439,"retro soul,soul,funk",,"funk,retro soul,soul"
JORMA KAUKONEN  & DAVID BROMBERG,"JORMA KAUKONEN, DAVID BROMBERG",2010-05-10,1767,130,0.7856498550787147,-0.6186714032625031,1,0.0,1.0,376.0,"$12,577.00",12577.0,$35,,,,,,,,,"32754,33834",33834,country blues,americana,"americana,country blues"
CARIBOU,CARIBOU,2010-05-11,1768,131,0.7748840413670407,-0.6321034111873487,2,0.7818314824680298,0.6234898018587336,364.0,"$5,331.00",5331.0,$15,,,,,,,,,699546,699546,"indietronica,idm",,"indietronica,idm"
KINGS OF BELMONT,KINGS OF BELMONT,2010-05-15,1772,135,0.7295575540864875,-0.6839194216246106,6,-0.9749279121818236,-0.2225209339563146,157.0,"$1,681.00",1681.0,$10,,,,,,,,,70,70,modern rock,,modern rock
OF MONTREAL,OF MONTREAL,2010-05-31,1788,151,0.5160623910158528,-0.8565509959010036,1,0.0,1.0,443.0,"$11,213.00",11213.0,$25,,,,,,,,,350637,350637,"psychedelic pop,baroque pop,art pop",,"baroque pop,psychedelic pop,art pop"
RYAN BINGHAM & TIFT MERRITT,"RYAN BINGHAM, TIFT MERRITT",2010-06-03,1791,154,0.4711595076738638,-0.8820480249558537,4,0.4338837391175582,-0.900968867902419,409.0,"$7,434.00",7434.0,$18,,,,,,,,,"550146,37861",550146,"red dirt,texas country,alt country,americana,country","americana,alt country,folk,singer-songwriter","red dirt,folk,singer-songwriter,country,alt country,americana,texas country"
BRANDI CARLILE,BRANDI CARLILE,2010-06-04,1792,155,0.4559066935084588,-0.8900275764346767,5,-0.433883739117558,-0.9009688679024191,698.0,"$13,486.00",13486.0,$19,,,,,,,,,860519,860519,"folk,americana",,"americana,folk"
DAVE RAWLINGS MACHINE,DAVE RAWLINGS MACHINE,2010-06-09,1797,160,0.3777079652039649,-0.9259247771938498,3,0.9749279121818236,-0.2225209339563143,558.0,"$13,841.00",13841.0,$24,,,,,,,,,45875,45875,"americana,bluegrass,alt country,newgrass",,"americana,newgrass,bluegrass,alt country"
DAR WILLIAMS,DAR WILLIAMS,2010-06-30,1818,181,0.025818440227133,-0.9996666485105112,3,0.9749279121818236,-0.2225209339563143,268.0,"$6,729.00",6729.0,$25,,,,,,,,,63297,63297,folk,,folk
GROOVE TRAIN,GROOVE TRAIN,2010-07-09,1827,190,-0.1287481774525806,-0.99167731989929,5,-0.433883739117558,-0.9009688679024191,248.0,"$2,091.00",2091.0,$8,,,,,,,,,2212,2212,jazz,,jazz
SOUTHERN CULTURE ON THE SKIDS,SOUTHERN CULTURE ON THE SKIDS,2010-07-10,1828,191,-0.1457991969198744,-0.9893142039703664,6,-0.9749279121818236,-0.2225209339563146,262.0,"$4,024.00",4024.0,$15,,,,,,,,,39052,39052,"psychobilly,rockabilly,alt country",,"psychobilly,rockabilly,alt country"
DIERKS BENTLEY,DIERKS BENTLEY,2010-07-15,1833,196,-0.2303056702306119,-0.973118337233262,4,0.4338837391175582,-0.900968867902419,753.0,"$22,653.00",22653.0,$30,,,,,,,,,3193780,3193780,country,,country
THE LOW ANTHEM,THE LOW ANTHEM,2010-07-23,1841,204,-0.3617137307297674,-0.9322892131745134,5,-0.433883739117558,-0.9009688679024191,143.0,"$1,926.00",1926.0,$13,,,,,,,,,28262,28262,indie folk,,indie folk
"APPALACHAIN VOICES - YIM YAMES, BEN SOLLEE, DANIEL MARTIN MOORE","YIM YAMES, BEN SOLLEE, DANIEL MARTIN MOORE",2010-07-27,1845,208,-0.4250003399695539,-0.9051931898913976,2,0.7818314824680298,0.6234898018587336,350.0,"$8,793.00",8793.0,$25,,,,,,,,,"6842,34841,12866",34841,alt country,indie folk,"indie folk,alt country"
ALLIGATOR,ALLIGATOR,2010-07-31,1849,212,-0.4862727071086902,-0.8738071036110807,6,-0.9749279121818236,-0.2225209339563146,407.0,"$4,293.00",4293.0,$10,,,,,,,,,955,955,,,
PAUL CURRERI,PAUL CURRERI,2010-08-07,1856,219,-0.5877852522924734,-0.8090169943749472,6,-0.9749279121818236,-0.2225209339563146,218.0,"$2,275.00",2275.0,$10,,,,,,,,,1306,1306,,,
MANGO FISHTRAP,MANGO FISHTRAP,2010-08-08,1857,220,-0.6016240632249227,-0.7987793728863648,7,-0.7818314824680299,0.6234898018587334,115.0,"$1,462.00",1462.0,$12,,,,,,,,,13766,13766,,,
DEERHUNTER,DEERHUNTER,2010-08-10,1859,222,-0.6287628145958345,-0.7775971469736268,2,0.7818314824680298,0.6234898018587336,267.0,"$3,585.00",3585.0,$13,,,,,,,,,397571,397571,"shoegaze,dream pop,noise rock",,"noise rock,shoegaze,dream pop"
JAMES McMURTRY,JAMES McMURTRY,2010-08-13,1862,225,-0.6680638642135333,-0.7441039398713608,5,-0.433883739117558,-0.9009688679024191,123.0,"$1,867.00",1867.0,$15,,,,,,,,,91477,91477,"alt country,americana,red dirt,texas country,roots rock",,"red dirt,alt country,roots rock,americana,texas country"
SARAH WHITE & THE PEARLS,"SARAH WHITE, THE PEARLS",2010-08-21,1870,233,-0.7638886127905429,-0.64534811322955,6,-0.9749279121818236,-0.2225209339563146,145.0,$601.00,601.0,$5,,,,,,,,,"964,733",964,,doo-wop,doo-wop
