Show,Date,Tickets Sold,Total GBOR,Advance Ticket Price,Artist Fee,Deal,Scan Count,Bar Sales,Bar Sales Per Head,Net Income
Trees on Fire,"Sat, 11/28/09",484.0,"$5,808.00",$12.00,,,,,,
Sons of Bill and Jason Isbell,"Fri, 11/27/09",709.0,"$10,341.00",$15.00,,,,,,
GOGOL BORDELLO,"Thu, 12/31/09",745.0,"$30,000.00",$40.00,,,,,,
ROCKNOCEROUS & SECRET AGENT 23 SKIDOO,"Sun, 12/13/09",108.0,"$1,040.00",$10.00,,,,,,
SHARON JONES AND THE DAP KINGS,"Sat, 12/12/09",729.0,"$14,580.00",$20.00,,,,,,
TOUBAB KREWE,"Sat, 12/05/09",608.0,"$4,859.40",$15.00,,,,,,
KINGS OF BELMONT,"Fri, 12/04/09",356.0,"$2,144.02",$10.00,,,,,,
CHEAP TRICK,"Fri, 01/22/10",402.0,"$12,445.00",$32,,,,,,
RJD2,"Thu, 01/21/10",545.0,"$10,336.00",$18,,,,,,
WHO'S BAD: TRIBUTE TO MICHAEL JACKSON,"Wed, 01/20/10",349.0,"$5,235.00",$15,,,,,,
ALEJANDRO ESCOVEDO,"Sun, 01/17/10",218.0,"$4,610.00",$20,,,,,,
THE MACHINE: TRIBUTE TO PINK FLOYD,"Sun, 01/10/10",388.0,"$8,365.00",$20,,,,,,
BELLA MORTE,"Sat, 01/02/10",178.0,"$2,026.00",$10,,,,,,
TREY ANASTIASIO,"Fri, 02/08/10",740.0,"$36,330.00",$49,,,,,,
DRIVE BY TRUCKERS,"Sat, 02/27/10",750.0,"$18,750.00",$25,,,,,,
DRIVE BY TRUCKERS,"Fri, 02/26/10",750.0,"$18,750.00",$25,,,,,,
STATE RADIO,"Wed, 02/24/10",384.0,"$4,816.00",$13,,,,,,
ST. VINCENT,"Tue, 02/23/10",368.0,"$5,032.00",$13,,,,,,
NORTH MISSISSIPPI ALLSTARS,"Sun, 02/21/10",386.0,"$6,040.00",$15,,,,,,
LUCERO,"Sat, 02/20/10",430.0,"$6,894.00",$15,,,,,,
PUCH BROTHERS,"Tue, 02/16/10",263.0,"$5,206.00",$20,,,,,,
UNDER THE FLOOD,"Sat, 02/13/10",261.0,"$2,679.00",$10,,,,,,
SOJA,"Fri, 02/12/10",751.0,"$15,000.00",$20,,,,,,
DONNA THE BUFFALO,"Thu, 02/04/10",425.0,"$6,665.00",$15,,,,,,
TEA LEAF GREEN,"Tue, 02/02/10",264.0,"$4,308.00",$15,,,,,,
PERPETUAL GROOVE,"Sat, 03/27/10",733.0,"$9,546.00",$12,,,,,,
BAND OF HEATHENS / 6 DAY BENDER,"Fri, 03/26/10",116.0,"$1,240.00",$10,,,,,,
WE ARE SCIENTISTS,"Thu, 03/25/10",170.0,"$2,091.00",$12,,,,,,
JOANNA NEWSOM,"Wed, 03/24/10",444.0,"$12,281.00",$30,,,,,,
BEN FOLDS,"Tue, 03/23/10",770.0,"$27,750.00",$36,,,,,,
AMOS LEE,"Sun, 03/21/10",752.0,"$16,595.00",$22,,,,,,
CARBON LEAF,"Sat, 03/20/10",750.0,"$11,702.00",$15,,,,,,
JAMES OTTO,"Fri, 03/19/10",327.0,"$4,406.00",$17,,,,,,
BAABA SETH (REUNION SHOW),"Sat, 03/13/10",518.0,"$7,526.00",$15,,,,,,
MIKE GORDON,"Thu, 03/11/10",392.0,"$8,035.00",$20,,,,,,
MOE,"Wed, 03/10/10",711.0,"$14,970.00",$20,,,,,,
PARACHUTE,"Fri, 04/30/10",750.0,"$9,762.00",$13,,,,,,
EDWIN MCCAIN BAND,"Thu, 04/29/10",189.0,"$2,978.00",$15,,,,,,
BASSNECTAR,"Sun, 04/25/10",750.0,"$15,000.00",$20,,,,,,
TREES ON FIRE,"Sat, 04/24/10",408.0,"$5,870.00",$15,,,,,,
SONS OF BILL   ,"Fri, 04/23/10",696.0,"$8,746.00",$12,,,,,,
DISCO BISCUITS,"Wed, 04/21/10",584.0,"$14,600.00",$25,,,,,,
AGAINST ME!,"Sun, 04/18/10",278.0,"$3,530.00",$12,,,,,,
ZOSO,"Wed, 04/14/10",291.0,"$3,055.00",$10,,,,,,
BADFISH,"Tue, 04/13/10",288.0,"$5,367.00",$18,,,,,,
COREY SMITH,"Fri, 04/09/10",614.0,"$7,626.00",$15,,,,,,
WHITE RABBIT,"Mon, 04/05/10",202.0,"$2,516.00",$12,,,,,,
EASY STAR ALL STARS,"Sat, 04/03/10",423.0,"$7,870.00",$18,,,,,,
ROBERT EARL KEEN,"Thu, 04/01/10",655.0,"$16,839.00",$25,,,,,,
OF MONTREAL,"Mon, 05/31/10",443.0,"$11,213.00",$25,,,,,,
KINGS OF BELMONT,"Sat, 05/15/10",157.0,"$1,681.00",$10,,,,,,
CARIBOU,"Tue, 05/11/10",364.0,"$5,331.00",$15,,,,,,
JORMA KAUKONEN  & DAVID BROMBERG,"Mon, 05/10/10",376.0,"$12,577.00",$35,,,,,,
SHARON JONES AND THE DAP KINGS,"Sat, 05/08/10",750.0,"$16,500.00",$22,,,,,,
ELLIS PAUL,"Fri, 05/07/10",195.0,"$3,033.00",$15,,,,,,
JOHN HIATT,"Tue, 05/04/10",365.0,"$12,249.00",$33,,,,,,
LOTUS,"Sun, 05/02/10",547.0,"$10,084.00",$18,,,,,,
THE INFAMOUS STRINGDUSTER,"Sat, 05/01/10",329.0,"$4,322.00",$12,,,,,,
DAR WILLIAMS,"Wed, 06/30/10",268.0,"$6,729.00",$25,,,,,,
DAVE RAWLINGS MACHINE,"Wed, 06/09/10",558.0,"$13,841.00",$24,,,,,,
BRANDI CARLILE,"Fri, 06/04/10",698.0,"$13,486.00",$19,,,,,,
RYAN BINGHAM & TIFT MERRITT,"Thu, 06/03/10",409.0,"$7,434.00",$18,,,,,,
ALLIGATOR,"Sat, 07/31/10",407.0,"$4,293.00",$10,,,,,,
"APPALACHAIN VOICES - YIM YAMES, BEN SOLLEE, DANIEL MARTIN MOORE","Tue, 07/27/10",350.0,"$8,793.00",$25,,,,,,
THE LOW ANTHEM,"Fri, 07/23/10",143.0,"$1,926.00",$13,,,,,,
DIERKS BENTLEY,"Thu, 07/15/10",753.0,"$22,653.00",$30,,,,,,
SOUTHERN CULTURE ON THE SKIDS,"Sat, 07/10/10",262.0,"$4,024.00",$15,,,,,,
GROOVE TRAIN,"Fri, 07/09/10",248.0,"$2,091.00",$8,,,,,,
SAM ADAMS,"Thu, 08/26/10",687.0,"$10,693.00",$15,,,,,,
SARAH WHITE & THE PEARLS,"Sat, 08/21/10",145.0,$601.00,$5,,,,,,
JAMES McMURTRY,"Fri, 08/13/10",123.0,"$1,867.00",$15,,,,,,
DEERHUNTER,"Tue, 08/10/10",267.0,"$3,585.00",$13,,,,,,
MANGO FISHTRAP,"Sun, 08/08/10",115.0,"$1,462.00",$12,,,,,,
PAUL CURRERI,"Sat, 08/07/10",218.0,"$2,275.00",$10,,,,,,
SONS OF BILL,"Fri, 09/24/10",752.0,"$9,444.00",$12,,,,,,
YARD DOGS ROAD SHOW,"Thu, 09/23/10",125.0,"$1,977.00",$15,,,,,,
TITUS ANDRONICUS,"Wed, 09/22/10",172.0,"$2,139.00",$12,,,,,,
WIZ KHALIFA,"Sun, 09/19/10",750.0,"$12,000.00",$16,,,,,,
DJ LOGIC (WIDESPREAD AFTER PARTY),"Sat, 09/18/10",334.0,"$3,625.00",$10,,,,,,
DARK STAR ORCHESTRA,"Wed, 09/15/10",450.0,"$10,951.00",$24,,,,,,
LUKE BRYAN,"Tue, 09/14/10",750.0,"$15,012.00",$20,,,,,,
THE X BAND,"Sat, 09/11/10",24.0,$351.00,$18,,,,,,
DUNGEN,"Fri, 09/10/10",156.0,"$1,966.00",$12,,,,,,
THE GLITCH MOB,"Fri, 09/03/10",447.0,"$7,179.00",$12,,,,,,
