name,genre,popularity,followers,avg_ticket_price,ticket_sales
Kai Lux,Hip-Hop,37,56114,23,9009
Kai Lux,R&B,51,49251,71,12927
Nova Sky,Hip-Hop,93,131813,144,46182
Kai Sky,Rock,30,122016,23,326
Nova Rex,R&B,90,117525,34,9097
Juno Sky,Jazz,30,207823,149,14956
Ryder Knight,Blues,46,308439,36,7419
Aria Rex,Rock,54,171626,71,9318
Ryder Knight,Blues,19,99653,86,494
Leo Star,Jazz,13,65738,99,248
Juno Star,Jazz,77,134590,62,28311
Zane Blaze,Reggae,13,97326,33,3126
Ryder Vale,Jazz,33,304939,128,12021
Juno Sky,R&B,4,12016,57,530
Ava Moon,Hip-Hop,13,20094,143,2800
Nova Knight,Pop,45,81920,99,8112
Ryder Wave,R&B,93,403739,94,28783
Zane Moon,Hip-Hop,62,442033,86,12269
Nova Wave,Blues,43,222951,41,9864
Zane Frost,Reggae,42,198582,150,9559
Luna Moon,Pop,28,145129,117,3683
Kai Moon,Blues,9,12584,37,67
Ryder Moon,Blues,2,19216,23,630
Zane Blaze,Pop,16,104051,28,1519
Ava Wave,Country,74,636058,51,14412
Ava Rex,Blues,16,19914,124,5892
Mila Frost,Electronic,3,2146,85,325
Luna Moon,Blues,42,216689,26,15306
Kai Blaze,Blues,69,473616,138,7689
Mila Wave,Classical,75,714824,117,31433
Mila Moon,Country,90,619478,40,8055
Ava Frost,Classical,58,419586,78,23804
Leo Frost,Blues,30,108935,84,9726
Mila Blaze,Reggae,51,176031,55,20820
Ryder Sky,Electronic,53,321805,102,15288
Nova Knight,Electronic,63,364416,81,14335
Kai Moon,Rock,21,124205,45,5332
Nova Knight,Reggae,95,307551,122,15344
Mila Wave,Electronic,89,796839,103,30850
Zane Star,Country,35,304573,41,6811
Kai Moon,Rock,99,367602,148,42966
Nova Frost,Reggae,12,87806,104,194
Kai Rex,R&B,6,29196,129,1395
Ava Lux,R&B,3,4261,69,1298
Luna Sky,Electronic,97,913840,122,16705
Luna Wave,Country,1,831,96,109
Juno Vale,Jazz,77,58492,52,31047
Nova Wave,Electronic,50,256306,23,11352
Kai Moon,Country,88,249807,31,20607
Leo Frost,Reggae,27,237325,112,8248
Ryder Rex,Rock,14,68871,116,67
Mila Wave,Pop,8,12069,33,1110
Mila Knight,Electronic,52,38568,101,9822
Zane Wave,Jazz,3,19588,84,1182
Juno Lux,Country,66,635396,105,19228
Luna Blaze,Blues,49,479244,85,19134
Nova Rex,Pop,12,57820,143,4568
Luna Blaze,Jazz,79,659108,41,24438
Juno Vale,Classical,86,21032,149,25092
Zane Sky,Jazz,6,54664,99,1134
Ryder Lux,Jazz,82,141929,77,37041
Kai Knight,Hip-Hop,6,12345,149,945
Kai Knight,Reggae,87,468003,88,29814
Ava Star,Hip-Hop,57,264945,124,7943
Juno Moon,Blues,89,284877,68,9806
Ryder Star,Electronic,97,881206,63,11576
Zane Frost,Jazz,82,511647,103,13280
Nova Star,Reggae,38,135054,106,2568
Aria Knight,Blues,40,152228,125,17242
Zane Lux,Electronic,41,247170,123,9107
Nova Vale,Country,53,236131,76,10730
Leo Star,Blues,100,961436,26,31074
Mila Lux,Pop,57,568587,98,9841
Luna Vale,Classical,31,149556,84,9626
Aria Moon,Jazz,57,388530,57,14534
Leo Moon,Hip-Hop,28,260964,59,3018
Luna Wave,Jazz,1,7224,85,101
Nova Vale,R&B,40,114493,135,17581
Leo Blaze,Hip-Hop,51,54912,73,82
Nova Vale,Hip-Hop,44,103508,32,21186
Ryder Blaze,Blues,59,583629,45,22449
Mila Sky,Hip-Hop,79,783412,70,24365
Nova Lux,Country,52,144233,144,18868
Luna Star,Country,77,118076,47,13215
Ava Knight,Blues,7,65099,90,1369
Kai Star,Blues,7,53566,20,1482
Kai Sky,R&B,88,494613,36,41057
Zane Moon,Reggae,5,3221,54,2240
Kai Frost,Hip-Hop,72,175057,117,35747
Nova Knight,R&B,54,17085,145,7495
Nova Blaze,Rock,34,164456,98,9503
Ryder Moon,Blues,10,70285,101,3137
Luna Lux,Classical,40,259833,111,9162
Ryder Wave,Reggae,95,484838,35,16149
Kai Frost,Jazz,45,243860,28,7215
Juno Star,Electronic,14,2026,63,2283
Aria Vale,Hip-Hop,93,560941,97,28769
Leo Rex,Jazz,88,35346,70,40455
Aria Moon,Rock,80,179328,145,27100
Leo Knight,Electronic,97,434495,21,43278
